NPA,Residential New Construction,Home Ownership,Housing Density,Housing Age,Housing Size,Sale_Price
362,0,35.9%,2,59,"1,226",311843.0
364,2,96.5%,2,59,"4,301",1608122.0
365,0,65.5%,3,65,"1,395",349985.0
366,0,36.6%,1,69,"1,366",289827.0
367,11,32.2%,5,83,"2,388",626530.0
368,0,66.9%,1,44,"1,626",293106.0
371,15,44.1%,2,56,"1,360",248600.0
372,0,81.5%,3,23,"2,354",399546.0
373,3,97.7%,1,49,"2,980",854023.0
374,5,46.1%,3,59,"1,215",276078.0
375,1,92.7%,1,37,"4,130",1212034.0
376,0,65.9%,1,29,"1,785",332707.0
377,3,81%,2,19,"2,552",377854.0
378,5,54.4%,3,63,"2,085",741306.0
379,0,99.8%,1,26,"3,756",882931.0
380,0,91.8%,1,31,"3,627",758632.0
381,6,38.9%,6,57,"2,055",790906.0
382,7,59.6%,2,53,"1,525",578380.0
383,0,59.5%,3,56,"1,570",428127.0
385,2,46.4%,3,65,"1,132",208064.0
386,15,60%,4,52,"1,715",650696.0
387,0,47%,1,55,"1,163",268085.0
388,2,27.9%,4,73,"1,614",586132.0
389,0,39.1%,3,56,"1,476",377636.0
390,1,40.4%,3,48,"1,509",443914.0
391,0,99.1%,2,48,"2,356",550215.0
392,2,85.1%,3,65,"3,742",1269903.0
393,5,56%,4,64,"1,644",482354.0
394,8,51.8%,4,46,"2,024",465254.0
395,0,45.5%,2,36,"2,160",412814.0
396,2,89.5%,0,30,"2,158",406980.0
397,0,9.4%,7,21,"1,880",444525.0
398,0,71.2%,2,13,"2,550",586500.0
399,0,49%,1,21,"2,282",572779.0
400,0,96.3%,1,32,"2,863",397791.0
401,0,86.8%,1,36,"1,980",385131.0
402,2,85.2%,1,35,"2,199",384934.0
403,1,96.1%,1,25,"2,981",691217.0
404,3,49.3%,2,50,"1,523",352119.0
405,1,77.9%,2,20,"2,053",403220.0
406,3,84.3%,1,33,"2,708",506645.0
407,1,88.6%,1,34,"2,241",410439.0
408,0,70.8%,1,33,"2,503",438198.0
409,1,94.9%,1,24,"4,135",1560137.0
410,2,73.2%,4,27,"3,154",541263.0
411,0,63.9%,1,18,"1,856",341462.0
412,20,91.9%,0,27,"2,858",699720.0
413,0,97.3%,1,24,"2,808",582691.0
416,0,19.7%,3,24,"1,917",314000.0
417,3,76.5%,1,19,"2,673",498836.0
418,0,74.9%,1,20,"3,203",603709.0
419,0,99%,2,25,"2,897",543045.0
420,0,65.7%,1,25,"2,367",493006.0
421,0,89.7%,1,15,"3,022",482506.0
422,0,38.6%,0,26,"1,814",348000.0
423,3,96.8%,0,21,"2,989",526538.0
424,3,96.7%,1,32,"3,138",757313.0
425,1,97.9%,0,27,"2,856",703959.0
426,0,58%,2,31,"2,267",440667.0
428,0,79.2%,0,34,"2,317",448795.0
430,0,45.6%,3,9,"2,474",376858.0
431,2,72.7%,1,34,"1,964",386081.0
432,0,90.7%,1,31,"2,271",440328.0
433,0,100%,1,28,"2,661",494065.0
434,9,93.1%,0,14,"3,635",595385.0
435,0,92.8%,1,44,"2,688",423438.0
436,0,92.1%,2,32,"2,154",354826.0
437,2,70.3%,1,17,"2,743",495049.0
438,70,69.9%,1,11,"2,571",587604.0
442,0,81.6%,2,34,"1,612",326283.0
443,0,84.3%,2,24,"2,563",468351.0
444,0,74.8%,2,31,"1,719",359932.0
445,0,89.4%,2,30,"2,220",410342.0
446,4,94.2%,1,21,"1,961",397288.0
447,0,85.3%,1,13,"2,527",415967.0
448,0,43.9%,2,20,"2,476",433409.0
449,1,98.1%,1,23,"4,267",1418063.0
450,0,89.1%,0,23,"2,846",593103.0
451,3,96%,1,15,"3,488",692947.0
452,1,89.1%,1,21,"2,200",396469.0
453,2,59.8%,1,62,"1,381",322067.0
454,0,88%,0,36,"2,572",476431.0
455,1,89.6%,0,34,"2,385",500778.0
456,1,36.4%,1,30,"2,386",506412.0
457,0,100%,1,36,"2,600",555526.0
458,0,85.6%,2,29,"2,332",482317.0
459,4,89%,1,28,"2,137",446321.0
460,1,75.1%,1,34,"1,908",382462.0
462,5,80.3%,0,17,"2,843",601965.0
463,0,55%,4,37,"1,875",373971.0
464,0,63.2%,3,23,"2,612",528309.0
465,0,46.4%,2,28,"2,133",461857.0
466,2,82.7%,0,26,"2,260",494380.0
467,0,78%,2,24,"2,402",451210.0
468,0,100%,0,64,"2,656",
469,1,100%,0,27,"3,008",770712.0
470,0,84.3%,2,28,"3,255",670302.0
471,0,32.2%,3,41,"1,870",415297.0
472,2,76.5%,2,28,"3,240",1100345.0
473,7,61.8%,2,40,"1,918",485542.0
474,2,79.1%,2,31,"2,552",798000.0
475,1,77.3%,1,33,"3,268",866494.0
476,0,26.5%,10,72,"2,045",421799.0
